,userId,beer_beerid,beer_name,brewery_name,beer_style,beer_abv,review_overall,review_time
47631,5,3877,Dark Horse Reserve Special Black Bier Ale,Dark Horse Brewing Company,American Strong Ale,7.5,4.0,1268268331
48125,5,3916,AleSmith IPA,AleSmith Brewing Company,American IPA,7.25,4.0,1294960199
49048,5,7971,Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8.0,5.0,1288398770
51382,5,9086,120 Minute IPA,Dogfish Head Brewery,American Double / Imperial IPA,18.0,4.0,1268780301
53031,5,10325,Péché Mortel (Imperial Stout Au Cafe),Brasserie Dieu Du Ciel,American Double / Imperial Stout,9.5,4.5,1314480637
54437,5,10672,Bourbon County Brand Stout,Goose Island Beer Co.,American Double / Imperial Stout,14.5,4.5,1264462207
56080,5,11582,Kulmbacher Reichelbrau Eisbock,Kulmbacher Brauerei AG,Eisbock,9.2,4.0,1298071903
56589,5,11757,Founders Breakfast Stout,Founders Brewing Company,American Double / Imperial Stout,8.3,4.0,1258767118
58984,5,12770,Damnation,Russian River Brewing Company,Belgian Strong Pale Ale,7.75,4.5,1299886008
59871,5,15589,Thomas Hooker Liberator Doppelbock,Thomas Hooker Brewing Company,Doppelbock,8.0,4.5,1290215426
60378,5,16814,Heady Topper,The Alchemist,American Double / Imperial IPA,8.0,4.5,1316646992
60810,5,16909,Allagash Curieux (Bourbon Barrel-Aged Tripel),Allagash Brewing Company,Tripel,11.0,4.5,1321648671
61459,5,17112,Bell's Hopslam Ale,"Bell's Brewery, Inc.",American Double / Imperial IPA,10.0,5.0,1263509489
63709,5,19216,Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,Russian Imperial Stout,9.5,4.0,1298592549
65113,5,19796,Great Lakes Glockenspiel Weizenbock,Great Lakes Brewing Company,Weizenbock,8.0,4.5,1254261839
65269,5,21296,Smuttynose S'muttonator (Big Beer Series),Smuttynose Brewing Company,Doppelbock,8.5,3.5,1322782324
65608,5,21822,Founders Imperial Stout,Founders Brewing Company,Russian Imperial Stout,10.5,4.0,1292025037
66669,5,22381,Dark Horse Double Crooked Tree IPA,Dark Horse Brewing Company,American Double / Imperial IPA,13.6,4.0,1258240355
67332,5,24071,Gonzo Imperial Porter,Flying Dog Brewery,Baltic Porter,9.2,4.5,1266194475
68662,5,24357,Samael's Ale,Avery Brewing Company,English Barleywine,16.45,4.0,1307921411
69150,5,27792,Ettaler Curator Doppelbock (US Import Version),Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,Doppelbock,9.0,4.5,1298759796
69316,5,28877,Beer Geek Breakfast,Mikkeller ApS,American Double / Imperial Stout,7.5,4.5,1291834665
70078,5,30288,Double Simcoe IPA,Weyerbacher Brewing Co.,American Double / Imperial IPA,9.0,4.0,1315613462
71215,5,32423,Red Barn Ale,The Lost Abbey,Saison / Farmhouse Ale,6.7,4.5,1299965748
71536,5,33243,Wipeout I.P.A.,Port Brewing Company / Pizza Port,American IPA,7.0,4.0,1294445003
72146,5,34146,Founders Double Trouble,Founders Brewing Company,American Double / Imperial IPA,9.4,4.0,1297990382
73281,5,34311,Aardmonnik - Earthmonk,De Struise Brouwers,Flanders Oud Bruin,8.0,4.5,1305921057
73432,5,34312,Pannepot Reserva,De Struise Brouwers,Quadrupel (Quad),10.0,4.5,1298150610
73687,5,34483,Ten FIDY,Oskar Blues Grill & Brew,Russian Imperial Stout,10.5,4.0,1252626822
75371,5,35625,Weihenstephaner Vitus,Bayerische Staatsbrauerei Weihenstephan,Weizenbock,7.7,4.5,1308601427
76040,5,35738,Hop Stoopid,Lagunitas Brewing Company,American Double / Imperial IPA,8.0,4.5,1291418042
77537,5,37113,Old Stock Cellar Reserve (Aged In Bourbon Barrels),North Coast Brewing Co.,Old Ale,13.16,4.5,1298504754
77747,5,38334,Black Albert,De Struise Brouwers,Russian Imperial Stout,13.0,4.0,1273702877
78449,5,38530,Red Poppy Ale,The Lost Abbey,Flanders Red Ale,5.5,4.0,1301704381
78842,5,38818,Chocolate Indulgence Stout,Brewery Ommegang,Belgian Dark Ale,7.0,4.0,1299357323
79483,5,40674,Smuttynose Baltic Porter (Big Beer Series),Smuttynose Brewing Company,Baltic Porter,9.0,5.0,1292460351
79870,5,41453,Hr. Frederiksen,Amager Bryghus,Russian Imperial Stout,10.5,4.0,1294450573
79943,5,41815,Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,12.5,5.0,1311204031
80518,5,43491,Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,Stone Brewing Co.,American Double / Imperial Stout,9.2,4.5,1309900842
81214,5,46221,Triple Bock,Iron Hill Brewery & Restaurant,Doppelbock,13.2,4.0,1275858599
81230,5,46230,Mother Of All Storms,Pelican Pub & Brewery,English Barleywine,13.5,4.5,1299366321
81481,5,47228,Iniquity (Imperial Black Ale),Southern Tier Brewing Company,American Black Ale,9.0,4.0,1314487604
82005,5,47454,Coffee Stout (Brewmaster Series),Long Trail Brewing Co.,American Double / Imperial Stout,8.0,4.5,1299361395
82262,5,47692,Night Stalker,Goose Island Beer Co.,American Double / Imperial Stout,11.7,4.0,1298154732
82851,5,47727,Chaos Chaos Imperial Stout,Marshall Wharf Brewing Company / Three Tides Restaurant,Russian Imperial Stout,10.1,4.0,1320526089
82858,5,48044,Old No. 55,Marshall Wharf Brewing Company / Three Tides Restaurant,American Strong Ale,7.7,4.5,1312588668
82864,5,48405,Black Damnation,De Struise Brouwers,Russian Imperial Stout,13.0,4.0,1287611824
82947,5,48780,Double IPA (Brewmaster Series),Long Trail Brewing Co.,American Double / Imperial IPA,8.6,4.5,1282513264
83199,5,48915,Big Twitch,Marshall Wharf Brewing Company / Three Tides Restaurant,American IPA,8.2,4.0,1312664764
83220,5,49789,A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,American Pale Wheat Ale,7.5,4.5,1292970927
84047,5,50959,Pemaquid Oyster Stout,Marshall Wharf Brewing Company / Three Tides Restaurant,American Stout,5.4,4.0,1324431813
84051,5,51679,Imperial Porter (Brewmaster Series),Long Trail Brewing Co.,American Porter,8.3,4.5,1322361251
84239,5,51896,Epic Armageddon,Epic Brewing Company,American IPA,6.66,4.0,1312660859
84311,5,54484,White Birch Holiday Ale 2009,White Birch Brewing,Tripel,10.4,5.0,1268439700
84316,5,54522,Zoe,Maine Beer Company,American Amber / Red Ale,7.2,4.0,1295051023
84575,5,54690,Bourbon Barrel Aged Lake Trout Stout,Sebago Brewing Company,American Stout,5.8,4.5,1320529201
84632,5,55412,GUBNA Imperial IPA,Oskar Blues Grill & Brew,American Double / Imperial IPA,10.0,4.0,1308426615
85309,5,55554,Black Damnation II - Mocha Bomb,De Struise Brouwers,American Double / Imperial Stout,12.0,4.5,1295655709
85431,5,55732,Bell's Batch 9000,"Bell's Brewery, Inc.",American Strong Ale,12.5,4.0,1294612609
85912,5,55900,Founders Nemesis 2009,Founders Brewing Company,Wheatwine,12.0,2.5,1291336093
86336,5,56774,Black Damnation III - Black Mes,De Struise Brouwers,American Double / Imperial Stout,13.0,4.0,1306007995
86412,5,57110,D.O.R.I.S. The Destroyer Double Imperial Stout,Hoppin' Frog Brewery,Russian Imperial Stout,10.5,4.0,1279318326
86650,5,57738,Trapp Vienna Lager,Trapp Family Lodge Brewery,Vienna Lager,5.0,4.5,1316039993
86660,5,58299,Abner Imperial IPA,Hill Farmstead Brewery,American Double / Imperial IPA,8.2,4.5,1319394211
86767,5,58359,Nelson Sauvignon (Nelson Sauvin Brut),Mikkeller ApS,Belgian Strong Pale Ale,9.0,4.5,1323996232
86803,5,58811,Labyrinth Black Ale,Uinta Brewing Company,American Double / Imperial Stout,13.2,4.0,1279923027
86944,5,59672,Hill Farmstead Citra IPA,Hill Farmstead Brewery,American IPA,5.5,5.0,1290561911
86970,5,60904,Black (黑) (Islay Edition),Mikkeller ApS,American Double / Imperial Stout,17.5,3.0,1321058511
86985,5,61062,Everett Robust Porter,Hill Farmstead Brewery,American Porter,7.5,4.5,1309822764
87074,5,61125,Phil Brown,Marshall Wharf Brewing Company / Three Tides Restaurant,American Brown Ale,6.0,4.0,1323482175
87076,5,62050,Otter Creek (Alpine) Black IPA,Otter Creek Brewing / Wolaver's,American Black Ale,6.0,4.5,1302129407
87257,5,62172,Ephraim,Hill Farmstead Brewery,American Double / Imperial IPA,10.5,4.5,1319242527
87393,5,62319,Jim,Hill Farmstead Brewery,American Black Ale,7.5,4.0,1317944866
87436,5,62550,Fear And Trembling (Cabernet/Bourbon Blend),Hill Farmstead Brewery,Baltic Porter,9.3,4.5,1299972733
87479,5,62585,Borefts Bock 2010,Brouwerij De Molen,Bock,6.2,4.0,1287012181
87481,5,62972,Twilight Of The Idols,Hill Farmstead Brewery,American Porter,7.5,4.0,1323134158
87528,5,62987,Emelisse Imperial Doppelbock,Bierbrouwerij Grand-Café  Emelisse,Doppelbock,11.5,3.0,1288403404
87530,5,63116,Firestone 14 - Anniversary Ale,Firestone Walker Brewing Co.,American Strong Ale,12.5,4.5,1301089504
87766,5,63522,Holger Danske,Hill Farmstead Brewery,Smoked Beer,7.5,5.0,1291499301
87781,5,63562,Great Lakes The Doppelrock,Great Lakes Brewing Company,Doppelbock,7.8,4.0,1304029186
87952,5,65079,Bourbon Barrel Aged Cant Dog,Marshall Wharf Brewing Company / Three Tides Restaurant,American Pale Ale (APA),9.0,4.0,1322352392
87958,5,65638,White Birch Hooksett Ale,White Birch Brewing,Belgian IPA,9.5,4.0,1315357241
88004,5,66572,Outblack,De Struise Brouwers,Belgian Strong Dark Ale,10.0,4.0,1302218079
88096,5,66573,Jaded (Import Series Vol. #3),Stillwater Artisanal Ales,Belgian Strong Dark Ale,10.0,4.0,1305847743
88143,5,67760,Galaxy Imperial Single Hop IPA,Hill Farmstead Brewery,American Double / Imperial IPA,8.0,4.5,1309725797
88217,5,68026,Fantôme Magic Ghost,Brasserie Fantôme,Saison / Farmhouse Ale,8.0,4.5,1323306396
88290,5,68155,White Birch Apprentice Series Nyx,White Birch Brewing,American Black Ale,7.0,4.5,1305150400
88314,5,68916,Lunch,Maine Beer Company,American IPA,7.0,4.5,1311801822
88493,5,69522,Hill Farmstead Double Citra IPA,Hill Farmstead Brewery,American Double / Imperial IPA,8.0,4.5,1306886222
88546,5,71908,Throwback Campfire Smoked Porter,Throwback Brewery,American Porter,6.4,4.0,1315525201
88556,5,72465,Bitter Monk,Anchorage Brewing Company,Belgian IPA,9.0,4.5,1319153082
88667,5,72789,White Birch Birchwood Smoked Stout,White Birch Brewing,Smoked Beer,8.5,4.5,1318549142
88675,5,74986,Lagunitas Sucks Holiday Ale,Lagunitas Brewing Company,American Double / Imperial IPA,7.85,4.0,1325898813
89105,7,90,Stone Smoked Porter,Stone Brewing Co.,American Porter,5.9,4.0,1279572611
90706,7,132,Ayinger Bräu Weisse,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Hefeweizen,5.1,4.5,1274929658
91417,7,135,Ayinger Ur-Weisse,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Dunkelweizen,5.8,5.0,1274929292
91884,7,665,Anchor Liberty Ale,Anchor Brewing Company,American Pale Ale (APA),6.0,3.0,1278285565
93275,7,808,Weihenstephaner Hefeweissbier Dunkel,Bayerische Staatsbrauerei Weihenstephan,Dunkelweizen,5.3,4.5,1275104227
94127,7,4700,Baltika #8 Wheat,Baltika Breweries,Hefeweizen,5.0,3.5,1278284951
94336,7,43905,Stone Cali-Belgique,Stone Brewing Co.,Belgian IPA,6.9,2.5,1274930915
95133,10,33,Maudite,Unibroue,Belgian Strong Dark Ale,8.0,4.0,1175127392
96829,10,58,Allagash Grand Cru,Allagash Brewing Company,Quadrupel (Quad),7.2,4.0,1196903648
97313,10,88,Stone IPA (India Pale Ale),Stone Brewing Co.,American IPA,6.9,4.5,1182557296
99788,10,156,Piraat Ale,Brouwerij Van Steenberge N.V.,Belgian IPA,10.5,3.0,1149214271
100653,10,358,XS Imperial India Pale Ale,Rogue Ales,American Double / Imperial IPA,9.5,3.0,1177193432
101403,10,386,Paulaner Oktoberfest-Märzen,Paulaner Brauerei GmbH & Co. KG,Märzen / Oktoberfest,6.0,4.0,1186695036
102384,10,694,Don de Dieu,Unibroue,Belgian Strong Pale Ale,9.0,4.5,1175734019
103474,10,1180,Raison D'etre,Dogfish Head Brewery,Belgian Strong Dark Ale,8.0,4.0,1177194630
105141,10,1372,Maximus,Lagunitas Brewing Company,American Double / Imperial IPA,8.2,4.0,1175202218
106257,10,1550,Stoudts American Pale Ale,Stoudts Brewing Co.,American Pale Ale (APA),5.0,4.0,1175731214
106626,10,1631,Augustijn Ale,Brouwerij Van Steenberge N.V.,Tripel,8.0,3.5,1149216561
107031,10,1904,Sierra Nevada Celebration Ale,Sierra Nevada Brewing Co.,American IPA,6.8,4.5,1177194065
109909,10,2512,Chimay Grande Réserve (Blue),Bières de Chimay S.A.,Belgian Strong Dark Ale,9.0,4.5,1191363612
111858,10,2526,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.8,4.5,1256171760
112289,10,3951,ApriHop,Dogfish Head Brewery,American IPA,7.0,4.0,1173742934
113737,10,4083,Stone Ruination IPA,Stone Brewing Co.,American Double / Imperial IPA,7.7,3.5,1175731842
116323,10,5045,8 Ball Stout,Lost Coast Brewery and Cafe,Oatmeal Stout,6.3,2.0,1185413677
116786,10,6549,Northern Hemisphere Harvest Wet Hop Ale,Sierra Nevada Brewing Co.,American IPA,6.7,4.5,1192145824
118078,10,8919,G'Knight Imperial Red Ale,Oskar Blues Grill & Brew,American Double / Imperial IPA,8.7,4.5,1175124584
119162,10,16159,Lagunitas Sirius Ale,Lagunitas Brewing Company,Cream Ale,7.0,4.5,1188342781
119507,10,16403,"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,American IPA,6.9,4.0,1175733432
120957,10,19651,Dogtoberfest,Flying Dog Brewery,Märzen / Oktoberfest,5.3,4.5,1191366374
121449,10,20232,Terrapin Big Hoppy Monster,Terrapin Beer Company,American Amber / Red Ale,8.3,4.5,1190331580
122042,10,20389,Thomas Hooker Hop Meadow IPA,Thomas Hooker Brewing Company,American IPA,6.5,4.0,1194911428
122330,10,22042,Terrapin Rye Squared,Terrapin Beer Company,American Double / Imperial IPA,8.5,4.0,1175732208
122809,10,27837,Allagash Interlude,Allagash Brewing Company,American Wild Ale,9.5,3.0,1182553567
123162,10,35754,Double Dog Double Pale Ale,Flying Dog Brewery,American Double / Imperial IPA,11.5,1.5,1188605747
124043,10,36195,Terrapin Hop Karma IPA,Terrapin Beer Company,American Brown Ale,6.0,4.5,1175889199
124520,10,36744,Sweetwater Road Trip Ale,SweetWater Brewing Company,German Pilsener,,4.5,1178896281
124638,10,37477,Sierra Nevada Anniversary Ale (2007-2009),Sierra Nevada Brewing Co.,American IPA,5.9,3.0,1189211243
125600,10,37774,Schneider-Brooklyner Hopfen-Weisse,Weisses Bräuhaus G. Schneider & Sohn GmbH,Weizenbock,8.2,4.0,1191014504
126218,10,38225,Kill Ugly Radio,Lagunitas Brewing Company,American Double / Imperial IPA,7.8,3.0,1193700849
126441,10,38591,Samuel Adams Hallertau Imperial Pilsner,Boston Beer Company (Samuel Adams),American Double / Imperial Pilsner,8.1,4.0,1192059031
127127,10,39441,Our Special Ale 2007 (Anchor Christmas Ale),Anchor Brewing Company,Winter Warmer,5.5,3.5,1194575363
127483,10,43442,Coney Island Freaktoberfest,Shmaltz Brewing Company,American Amber / Red Lager,6.66,2.0,1256947599
127711,12,410,Ruedrich's Red Seal Ale,North Coast Brewing Co.,American Amber / Red Ale,5.5,4.0,1232759858
128630,12,2302,Railbender Ale,Erie Brewing Co.,Scottish Ale,6.8,4.0,1232760596
128917,12,2960,Spezial Rauchbier Lager,Brauerei Spezial,Rauchbier,4.6,3.5,1229020242
129140,12,3329,The Red MacGregor,Orkney Brewery,Scottish Ale,4.0,4.5,1238299686
129255,12,6302,Presque Isle Pilsner,Erie Brewing Co.,German Pilsener,4.2,2.5,1232760178
129368,12,7597,Pure Hoppiness,Alpine Beer Company,American Double / Imperial IPA,8.0,4.0,1238301804
129911,12,8045,Trappist Achel 8° Bruin,Brouwerij der St. Benedictusabdij de Achelse,Dubbel,8.0,4.5,1238298627
130268,12,10484,Baird Angry Boy Brown Ale,Baird Brewing Company / Fishmarket Taproom,English Brown Ale,6.2,4.0,1238300775
130333,12,18943,Mountain High IPA,Mount Shasta Brewing,American IPA,7.0,3.5,1232761446
130388,12,20345,Buffalo Belgian Stout,Brouwerij Van den Bossche,Belgian Strong Dark Ale,9.0,4.5,1232762284
130494,12,25005,Ommegeddon,Brewery Ommegang,American Wild Ale,8.0,2.5,1238300051
130937,12,33730,White Christmas Belgian Style Wit,Moylan's Brewery,Witbier,6.0,4.0,1236894663
130998,12,37907,De Proef Reserve Signature Ale (w/ Tomme Arthur),De Proefbrouwerij (bvba Andelot),Belgian Strong Pale Ale,8.5,4.5,1236895634
131226,12,41092,Black (黑),Mikkeller ApS,American Double / Imperial Stout,17.5,4.5,1211475938
131401,12,41867,Disputin - Russian Imperial Stout,Brouwerij De Molen,Russian Imperial Stout,11.0,4.5,1238301445
131513,12,42353,Avery Anniversary Ale - Fifteen,Avery Brewing Company,American Wild Ale,7.68,3.0,1236896236
131878,12,42543,Seven Swabians Eisbock,Baron Brewing,Eisbock,13.0,2.0,1238300498
131885,12,42836,Black Butte XX,Deschutes Brewery,American Porter,11.0,5.0,1238298968
132155,12,43159,Innstadt Doppelbock Extra,Innstadt Brauerei,Doppelbock,7.2,4.0,1238297971
132177,12,47782,Cascade The Vine,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.33,4.5,1239126651
132274,13,6306,Drie Fonteinen Oude Kriek,Brouwerij Drie Fonteinen,Lambic - Fruit,6.0,3.5,1325035985
132491,13,48084,Reserve Wheat Ale,Telegraph Brewing Company,Berliner Weissbier,5.0,4.5,1326170542
132560,13,71919,Lips Of Faith - Kick,New Belgium Brewing,Fruit / Vegetable Beer,8.5,3.0,1325464257
132746,14,213,Full Sail Amber,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,5.5,4.0,1279837108
133131,14,356,Imperial Stout,Rogue Ales,Russian Imperial Stout,11.0,4.5,1219030990
133940,14,459,Fred,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Strong Ale,10.0,5.0,1287186484
134638,14,706,Tetley's English Ale,Carlsberg-Tetley Brewing Ltd,English Pale Ale,3.6,4.0,1267638649
134984,14,709,Big Eye IPA,Ballast Point Brewing Company,American IPA,7.0,4.0,1297034595
135710,14,755,"Carnegie Porter 5,5%",Carlsberg Sverige AB,Baltic Porter,5.5,4.0,1277599188
136011,14,759,Schneider Wiesen Edel-Weisse Mein Grunes,Weisses Bräuhaus G. Schneider & Sohn GmbH,Hefeweizen,6.2,5.0,1289677997
136482,14,1056,Double Bastard Ale,Stone Brewing Co.,American Strong Ale,10.5,4.0,1292700654
138269,14,1173,Santa's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,6.0,4.0,1294635320
139370,14,1445,Anchor Old Foghorn,Anchor Brewing Company,English Barleywine,8.2,4.0,1259000800
140291,14,1490,Hog Heaven Barley Wine,Avery Brewing Company,American Barleywine,9.2,3.0,1302209326
141078,14,1579,Olde GnarlyWine,Lagunitas Brewing Company,American Barleywine,10.6,4.5,1302650311
141675,14,1658,Big Bear Black Stout,Bear Republic Brewing Co.,American Double / Imperial Stout,8.1,5.0,1226371077
142668,14,1855,St. Bernardus Prior 8,Brouwerij St. Bernardus NV,Dubbel,8.0,4.0,1225694570
143532,14,1867,Old Stock Ale,North Coast Brewing Co.,Old Ale,11.9,4.0,1305844956
144741,14,2013,Hitachino Nest White Ale,Kiuchi Brewery,Witbier,5.0,4.0,1297029651
145181,14,2519,Marin India Pale Ale,Marin Brewing Company,American IPA,7.0,5.0,1231203560
145276,14,2520,San Quentin Breakout Stout,Marin Brewing Company,Foreign / Export Stout,7.0,4.0,1236568974
145391,14,2566,Maredsous 10 - Triple,Brouwerij Duvel Moortgat NV,Tripel,10.0,4.0,1228194583
145997,14,2678,Horn Dog Barley Wine Style Ale,Flying Dog Brewery,English Barleywine,10.5,5.0,1222655032
146774,14,2838,Marin Star Brew-Triple Wheat Ale,Marin Brewing Company,Wheatwine,9.2,4.5,1293081957
146877,14,2912,Old Dipsea Barleywine Style Ale,Marin Brewing Company,American Barleywine,9.6,3.5,1266471325
146924,14,3732,Gale's Prize Old Ale,George Gale & Company Ltd,Old Ale,9.0,3.5,1277689429
147193,14,4041,Kilt Lifter Scotch Ale,Moylan's Brewery,Scotch Ale / Wee Heavy,8.0,4.0,1281998564
147549,14,4647,Blue Bell Bitter,Magnolia Pub & Brewery,Extra Special / Strong Bitter (ESB),5.4,4.0,1236529638
147574,14,5716,Sweetgrass APA,Grand Teton Brewing Co.,American Pale Ale (APA),6.5,3.5,1301700450
147791,14,5799,Bacchus,Brouwerij Van Honsebrouck N.V.,Flanders Oud Bruin,4.5,4.0,1273372814
147922,14,6533,Olde School Barleywine,Dogfish Head Brewery,American Barleywine,15.04,4.0,1294264084
148780,14,7451,Goudale,Les Brasseurs de Gayant,Bière de Garde,7.2,4.5,1274135964
148895,14,7850,The Czar,Avery Brewing Company,Russian Imperial Stout,11.03,4.0,1253754020
149680,14,10536,W'11 (KGB Imperial Stout),Widmer Brothers Brewing Company,Russian Imperial Stout,9.3,2.0,1304634603
149816,14,11922,Titan IPA,Great Divide Brewing Company,American IPA,7.1,4.5,1299131310
151053,14,12051,Raven's Eye Imperial Stout,Eel River Brewing Co.,Russian Imperial Stout,9.5,4.0,1290133869
151211,14,13416,10 Squared Fish Tale Ale,Fish Brewing Company / Fishbowl Brewpub,American Barleywine,10.0,4.0,1299360903
151320,14,15619,The Beast Grand Cru,Avery Brewing Company,Belgian Strong Dark Ale,16.83,3.5,1281233229
151814,14,16509,De Dolle Extra Export Stout,Brouwerij De Dolle Brouwers,Foreign / Export Stout,9.0,3.5,1299717236
152174,14,16553,Drake's Port Barrel Imperial Stout,Drake's Brewing Co.,Russian Imperial Stout,11.0,3.5,1219029669
152176,14,17060,Hercules Double IPA,Great Divide Brewing Company,American Double / Imperial IPA,10.0,5.0,1299262912
153516,14,17498,Brother David's Triple Abbey Style Ale,Anderson Valley Brewing Company,Tripel,10.0,3.5,1268436304
153831,14,18014,Hop Juice Double IPA,Oggi's Pizza & Brewing Co.,American Double / Imperial IPA,9.4,4.0,1268018049
